id,name,email,age
001,Ayaan,ayaan@gmail.com,21
002,Daniyal,daniyal@gmail.com,20
003,Fahad,fahad_k@gmail.com,21
004,Haris,haris99@gmail.com,22
005,Hassan,hassan.a@gmail.com,18
006,Huzaifa,huzaifa@gmail.com,23
007,Ibrahim,ibrahim_i@gmail.com,20
008,Junaid,junaid@gmail.com,24
009,Moiz,moiz_m@gmail.com,19
010,Mustafa,mustafa@gmail.com,21
011,Nabeel,nabeel_n@gmail.com,22
012,Owais,owais1@gmail.com,25
013,Rehan,rehan_r@gmail.com,18
014,Saad,saad_s@gmail.com,23
015,Talha,talha_t@gmail.com,21
016,Raza,raza@gmail.com,21
017,Ali,ali@gmail.com,19
